Participant ID,List,TagQualtrics,Valeur,Item,Condition,Presence Connecteur,Type Connecteur,Type Question
3,1,L1_7_ANC_1,4,7,NonFallacieux,oui,Comme,Proportion
3,1,L1_7_ANC_2,4,7,NonFallacieux,oui,Comme,Decoulement
3,1,L1_7_ANC_3,2,7,NonFallacieux,oui,Comme,AccordA
3,1,L1_7_ANC_4,3,7,NonFallacieux,oui,Comme,AccordB
3,1,L1_8_ANS_1,3,8,NonFallacieux,non,Comme,Proportion
3,1,L1_8_ANS_2,3,8,NonFallacieux,non,Comme,Decoulement
3,1,L1_8_ANS_3,4,8,NonFallacieux,non,Comme,AccordA
3,1,L1_8_ANS_4,5,8,NonFallacieux,non,Comme,AccordB
3,1,L1_9_AFC_1,5,9,Fallacieux,oui,Comme,Proportion
3,1,L1_9_AFC_2,4,9,Fallacieux,oui,Comme,Decoulement
3,1,L1_9_AFC_3,4,9,Fallacieux,oui,Comme,AccordA
3,1,L1_9_AFC_4,6,9,Fallacieux,oui,Comme,AccordB
3,1,L1_10_AFS_1,4,10,Fallacieux,non,Comme,Proportion
3,1,L1_10_AFS_2,4,10,Fallacieux,non,Comme,Decoulement
3,1,L1_10_AFS_3,5,10,Fallacieux,non,Comme,AccordA
3,1,L1_10_AFS_4,6,10,Fallacieux,non,Comme,AccordB
3,1,L1_11_ANC_1,5,11,NonFallacieux,oui,Comme,Proportion
3,1,L1_11_ANC_2,5,11,NonFallacieux,oui,Comme,Decoulement
3,1,L1_11_ANC_3,5,11,NonFallacieux,oui,Comme,AccordA
3,1,L1_11_ANC_4,5,11,NonFallacieux,oui,Comme,AccordB
3,1,L1_12_ANS_1,3,12,NonFallacieux,non,Comme,Proportion
3,1,L1_12_ANS_2,4,12,NonFallacieux,non,Comme,Decoulement
3,1,L1_12_ANS_3,2,12,NonFallacieux,non,Comme,AccordA
3,1,L1_12_ANS_4,4,12,NonFallacieux,non,Comme,AccordB
3,1,L1_13_AFC_1,2,13,Fallacieux,oui,Comme,Proportion
3,1,L1_13_AFC_2,3,13,Fallacieux,oui,Comme,Decoulement
3,1,L1_13_AFC_3,2,13,Fallacieux,oui,Comme,AccordA
3,1,L1_13_AFC_4,5,13,Fallacieux,oui,Comme,AccordB
3,1,L1_14_AFS_1,4,14,Fallacieux,non,Comme,Proportion
3,1,L1_14_AFS_2,4,14,Fallacieux,non,Comme,Decoulement
3,1,L1_14_AFS_3,5,14,Fallacieux,non,Comme,AccordA
3,1,L1_14_AFS_4,5,14,Fallacieux,non,Comme,AccordB
3,1,L1_15_ANC_1,4,15,NonFallacieux,oui,Comme,Proportion
3,1,L1_15_ANC_2,4,15,NonFallacieux,oui,Comme,Decoulement
3,1,L1_15_ANC_3,2,15,NonFallacieux,oui,Comme,AccordA
3,1,L1_15_ANC_4,2,15,NonFallacieux,oui,Comme,AccordB
3,1,L1_16_ANS_1,5,16,NonFallacieux,non,Comme,Proportion
3,1,L1_16_ANS_2,5,16,NonFallacieux,non,Comme,Decoulement
3,1,L1_16_ANS_3,6,16,NonFallacieux,non,Comme,AccordA
3,1,L1_16_ANS_4,6,16,NonFallacieux,non,Comme,AccordB
3,1,L1_17_AFC_1,4,17,Fallacieux,oui,Comme,Proportion
3,1,L1_17_AFC_2,3,17,Fallacieux,oui,Comme,Decoulement
3,1,L1_17_AFC_3,5,17,Fallacieux,oui,Comme,AccordA
3,1,L1_17_AFC_4,4,17,Fallacieux,oui,Comme,AccordB
3,1,L1_18_AFS_1,3,18,Fallacieux,non,Comme,Proportion
3,1,L1_18_AFS_2,4,18,Fallacieux,non,Comme,Decoulement
3,1,L1_18_AFS_3,3,18,Fallacieux,non,Comme,AccordA
3,1,L1_18_AFS_4,5,18,Fallacieux,non,Comme,AccordB
3,1,L1_19_ANC_1,3,19,NonFallacieux,oui,Comme,Proportion
3,1,L1_19_ANC_2,4,19,NonFallacieux,oui,Comme,Decoulement
3,1,L1_19_ANC_3,3,19,NonFallacieux,oui,Comme,AccordA
3,1,L1_19_ANC_4,3,19,NonFallacieux,oui,Comme,AccordB
3,1,L1_20_ANS_1,4,20,NonFallacieux,non,Comme,Proportion
3,1,L1_20_ANS_2,4,20,NonFallacieux,non,Comme,Decoulement
3,1,L1_20_ANS_3,5,20,NonFallacieux,non,Comme,AccordA
3,1,L1_20_ANS_4,4,20,NonFallacieux,non,Comme,AccordB
3,1,L1_21_AFC_1,4,21,Fallacieux,oui,Comme,Proportion
3,1,L1_21_AFC_2,4,21,Fallacieux,oui,Comme,Decoulement
3,1,L1_21_AFC_3,5,21,Fallacieux,oui,Comme,AccordA
3,1,L1_21_AFC_4,5,21,Fallacieux,oui,Comme,AccordB
3,1,L1_22_AFS_1,5,22,Fallacieux,non,Comme,Proportion
3,1,L1_22_AFS_2,5,22,Fallacieux,non,Comme,Decoulement
3,1,L1_22_AFS_3,5,22,Fallacieux,non,Comme,AccordA
3,1,L1_22_AFS_4,5,22,Fallacieux,non,Comme,AccordB
3,1,L1_23_ANC_1,4,23,NonFallacieux,oui,Comme,Proportion
3,1,L1_23_ANC_2,3,23,NonFallacieux,oui,Comme,Decoulement
3,1,L1_23_ANC_3,2,23,NonFallacieux,oui,Comme,AccordA
3,1,L1_23_ANC_4,5,23,NonFallacieux,oui,Comme,AccordB
3,1,L1_24_ANS_1,4,24,NonFallacieux,non,Comme,Proportion
3,1,L1_24_ANS_2,5,24,NonFallacieux,non,Comme,Decoulement
3,1,L1_24_ANS_3,5,24,NonFallacieux,non,Comme,AccordA
3,1,L1_24_ANS_4,5,24,NonFallacieux,non,Comme,AccordB
3,1,L1_25_AFC_1,3,25,Fallacieux,oui,Comme,Proportion
3,1,L1_25_AFC_2,4,25,Fallacieux,oui,Comme,Decoulement
3,1,L1_25_AFC_3,2,25,Fallacieux,oui,Comme,AccordA
3,1,L1_25_AFC_4,2,25,Fallacieux,oui,Comme,AccordB
3,1,L1_26_AFS_1,4,26,Fallacieux,non,Comme,Proportion
3,1,L1_26_AFS_2,4,26,Fallacieux,non,Comme,Decoulement
3,1,L1_26_AFS_3,5,26,Fallacieux,non,Comme,AccordA
3,1,L1_26_AFS_4,3,26,Fallacieux,non,Comme,AccordB
3,1,L1_27_ANC_1,4,27,NonFallacieux,oui,Comme,Proportion
3,1,L1_27_ANC_2,2,27,NonFallacieux,oui,Comme,Decoulement
3,1,L1_27_ANC_3,5,27,NonFallacieux,oui,Comme,AccordA
3,1,L1_27_ANC_4,5,27,NonFallacieux,oui,Comme,AccordB
3,1,L1_28_ANS_1,4,28,NonFallacieux,non,Comme,Proportion
3,1,L1_28_ANS_2,5,28,NonFallacieux,non,Comme,Decoulement
3,1,L1_28_ANS_3,5,28,NonFallacieux,non,Comme,AccordA
3,1,L1_28_ANS_4,5,28,NonFallacieux,non,Comme,AccordB
3,1,L1_29_AFC_1,3,29,Fallacieux,oui,Comme,Proportion
3,1,L1_29_AFC_2,3,29,Fallacieux,oui,Comme,Decoulement
3,1,L1_29_AFC_3,2,29,Fallacieux,oui,Comme,AccordA
3,1,L1_29_AFC_4,5,29,Fallacieux,oui,Comme,AccordB
3,1,L1_30_AFS_1,3,30,Fallacieux,non,Comme,Proportion
3,1,L1_30_AFS_2,3,30,Fallacieux,non,Comme,Decoulement
3,1,L1_30_AFS_3,2,30,Fallacieux,non,Comme,AccordA
3,1,L1_30_AFS_4,5,30,Fallacieux,non,Comme,AccordB
3,1,L1_31_ANC_1,4,31,NonFallacieux,oui,Comme,Proportion
3,1,L1_31_ANC_2,3,31,NonFallacieux,oui,Comme,Decoulement
3,1,L1_31_ANC_3,2,31,NonFallacieux,oui,Comme,AccordA
3,1,L1_31_ANC_4,3,31,NonFallacieux,oui,Comme,AccordB
3,1,L1_32_ANS_1,4,32,NonFallacieux,non,Comme,Proportion
3,1,L1_32_ANS_2,5,32,NonFallacieux,non,Comme,Decoulement
3,1,L1_32_ANS_3,5,32,NonFallacieux,non,Comme,AccordA
3,1,L1_32_ANS_4,5,32,NonFallacieux,non,Comme,AccordB
3,1,L1_33_AFC_1,2,33,Fallacieux,oui,Comme,Proportion
3,1,L1_33_AFC_2,3,33,Fallacieux,oui,Comme,Decoulement
3,1,L1_33_AFC_3,2,33,Fallacieux,oui,Comme,AccordA
3,1,L1_33_AFC_4,6,33,Fallacieux,oui,Comme,AccordB
3,1,L1_34_AFS_1,2,34,Fallacieux,non,Comme,Proportion
3,1,L1_34_AFS_2,4,34,Fallacieux,non,Comme,Decoulement
3,1,L1_34_AFS_3,2,34,Fallacieux,non,Comme,AccordA
3,1,L1_34_AFS_4,4,34,Fallacieux,non,Comme,AccordB
3,1,L1_35_ANC_1,4,35,NonFallacieux,oui,Comme,Proportion
3,1,L1_35_ANC_2,4,35,NonFallacieux,oui,Comme,Decoulement
3,1,L1_35_ANC_3,5,35,NonFallacieux,oui,Comme,AccordA
3,1,L1_35_ANC_4,6,35,NonFallacieux,oui,Comme,AccordB
3,1,L1_36_ANS_1,4,36,NonFallacieux,non,Comme,Proportion
3,1,L1_36_ANS_2,4,36,NonFallacieux,non,Comme,Decoulement
3,1,L1_36_ANS_3,5,36,NonFallacieux,non,Comme,AccordA
3,1,L1_36_ANS_4,5,36,NonFallacieux,non,Comme,AccordB
3,1,L1_37_AFC_1,4,37,Fallacieux,oui,Comme,Proportion
3,1,L1_37_AFC_2,4,37,Fallacieux,oui,Comme,Decoulement
3,1,L1_37_AFC_3,5,37,Fallacieux,oui,Comme,AccordA
3,1,L1_37_AFC_4,5,37,Fallacieux,oui,Comme,AccordB
3,1,L1_38_AFS_1,3,38,Fallacieux,non,Comme,Proportion
3,1,L1_38_AFS_2,4,38,Fallacieux,non,Comme,Decoulement
3,1,L1_38_AFS_3,3,38,Fallacieux,non,Comme,AccordA
3,1,L1_38_AFS_4,5,38,Fallacieux,non,Comme,AccordB
3,1,L1_39_ANC_1,4,39,NonFallacieux,oui,Comme,Proportion
3,1,L1_39_ANC_2,4,39,NonFallacieux,oui,Comme,Decoulement
3,1,L1_39_ANC_3,5,39,NonFallacieux,oui,Comme,AccordA
3,1,L1_39_ANC_4,5,39,NonFallacieux,oui,Comme,AccordB
3,1,L1_40_ANS_1,4,40,NonFallacieux,non,Comme,Proportion
3,1,L1_40_ANS_2,4,40,NonFallacieux,non,Comme,Decoulement
3,1,L1_40_ANS_3,5,40,NonFallacieux,non,Comme,AccordA
3,1,L1_40_ANS_4,5,40,NonFallacieux,non,Comme,AccordB
4,1,Q1_Sexe,1,,,,,Q1.1_Sexe
4,1,Q1_Sexe_3_TEXT,,,,,,Q1.2_Sexe_3_TEXT
4,1,Q2_Age,38,,,,,Q2_Age
4,1,Q3_Langue,2,,,,,Q3.1_Langue
4,1,Q3_Langue_3_TEXT,,,,,,Q3.2_Langue
4,1,Q5_Lieu,Pays de Galles,,,,,Q5_Lieu
4,1,Q6_Prolific,5cb078251f7ba100018d7ea9,,,,,Q6_Prolific
4,1,L1_1_AFC_1,3,1,Fallacieux,oui,Comme,Proportion
4,1,L1_1_AFC_2,4,1,Fallacieux,oui,Comme,Decoulement
4,1,L1_1_AFC_3,3,1,Fallacieux,oui,Comme,AccordA
4,1,L1_1_AFC_4,4,1,Fallacieux,oui,Comme,AccordB
4,1,L1_2_AFS_1,3,2,Fallacieux,non,Comme,Proportion
4,1,L1_2_AFS_2,2,2,Fallacieux,non,Comme,Decoulement
4,1,L1_2_AFS_3,2,2,Fallacieux,non,Comme,AccordA
4,1,L1_2_AFS_4,4,2,Fallacieux,non,Comme,AccordB
4,1,L1_3_ANC_1,5,3,NonFallacieux,oui,Comme,Proportion
4,1,L1_3_ANC_2,2,3,NonFallacieux,oui,Comme,Decoulement
4,1,L1_3_ANC_3,5,3,NonFallacieux,oui,Comme,AccordA
4,1,L1_3_ANC_4,5,3,NonFallacieux,oui,Comme,AccordB
4,1,L1_4_ANS_1,5,4,NonFallacieux,non,Comme,Proportion
4,1,L1_4_ANS_2,5,4,NonFallacieux,non,Comme,Decoulement
4,1,L1_4_ANS_3,5,4,NonFallacieux,non,Comme,AccordA
4,1,L1_4_ANS_4,5,4,NonFallacieux,non,Comme,AccordB
4,1,L1_5_AFC_1,5,5,Fallacieux,oui,Comme,Proportion
4,1,L1_5_AFC_2,5,5,Fallacieux,oui,Comme,Decoulement
4,1,L1_5_AFC_3,5,5,Fallacieux,oui,Comme,AccordA
4,1,L1_5_AFC_4,4,5,Fallacieux,oui,Comme,AccordB
4,1,L1_6_AFS_1,3,6,Fallacieux,non,Comme,Proportion
4,1,L1_6_AFS_2,5,6,Fallacieux,non,Comme,Decoulement
4,1,L1_6_AFS_3,4,6,Fallacieux,non,Comme,AccordA
4,1,L1_6_AFS_4,4,6,Fallacieux,non,Comme,AccordB
4,1,L1_7_ANC_1,4,7,NonFallacieux,oui,Comme,Proportion
4,1,L1_7_ANC_2,4,7,NonFallacieux,oui,Comme,Decoulement
4,1,L1_7_ANC_3,4,7,NonFallacieux,oui,Comme,AccordA
4,1,L1_7_ANC_4,4,7,NonFallacieux,oui,Comme,AccordB
4,1,L1_8_ANS_1,5,8,NonFallacieux,non,Comme,Proportion
4,1,L1_8_ANS_2,5,8,NonFallacieux,non,Comme,Decoulement
4,1,L1_8_ANS_3,5,8,NonFallacieux,non,Comme,AccordA
4,1,L1_8_ANS_4,5,8,NonFallacieux,non,Comme,AccordB
4,1,L1_9_AFC_1,4,9,Fallacieux,oui,Comme,Proportion
4,1,L1_9_AFC_2,5,9,Fallacieux,oui,Comme,Decoulement
4,1,L1_9_AFC_3,3,9,Fallacieux,oui,Comme,AccordA
4,1,L1_9_AFC_4,5,9,Fallacieux,oui,Comme,AccordB
4,1,L1_10_AFS_1,4,10,Fallacieux,non,Comme,Proportion
4,1,L1_10_AFS_2,3,10,Fallacieux,non,Comme,Decoulement
4,1,L1_10_AFS_3,4,10,Fallacieux,non,Comme,AccordA
4,1,L1_10_AFS_4,5,10,Fallacieux,non,Comme,AccordB
4,1,L1_11_ANC_1,4,11,NonFallacieux,oui,Comme,Proportion
4,1,L1_11_ANC_2,4,11,NonFallacieux,oui,Comme,Decoulement
4,1,L1_11_ANC_3,4,11,NonFallacieux,oui,Comme,AccordA
4,1,L1_11_ANC_4,3,11,NonFallacieux,oui,Comme,AccordB
4,1,L1_12_ANS_1,4,12,NonFallacieux,non,Comme,Proportion
4,1,L1_12_ANS_2,3,12,NonFallacieux,non,Comme,Decoulement
4,1,L1_12_ANS_3,3,12,NonFallacieux,non,Comme,AccordA
4,1,L1_12_ANS_4,4,12,NonFallacieux,non,Comme,AccordB
4,1,L1_13_AFC_1,3,13,Fallacieux,oui,Comme,Proportion
4,1,L1_13_AFC_2,4,13,Fallacieux,oui,Comme,Decoulement
4,1,L1_13_AFC_3,3,13,Fallacieux,oui,Comme,AccordA
4,1,L1_13_AFC_4,4,13,Fallacieux,oui,Comme,AccordB
4,1,L1_14_AFS_1,4,14,Fallacieux,non,Comme,Proportion
4,1,L1_14_AFS_2,4,14,Fallacieux,non,Comme,Decoulement
4,1,L1_14_AFS_3,4,14,Fallacieux,non,Comme,AccordA
4,1,L1_14_AFS_4,4,14,Fallacieux,non,Comme,AccordB
4,1,L1_15_ANC_1,4,15,NonFallacieux,oui,Comme,Proportion
4,1,L1_15_ANC_2,4,15,NonFallacieux,oui,Comme,Decoulement
4,1,L1_15_ANC_3,4,15,NonFallacieux,oui,Comme,AccordA
4,1,L1_15_ANC_4,4,15,NonFallacieux,oui,Comme,AccordB
4,1,L1_16_ANS_1,4,16,NonFallacieux,non,Comme,Proportion
4,1,L1_16_ANS_2,4,16,NonFallacieux,non,Comme,Decoulement
4,1,L1_16_ANS_3,4,16,NonFallacieux,non,Comme,AccordA
4,1,L1_16_ANS_4,4,16,NonFallacieux,non,Comme,AccordB
4,1,L1_17_AFC_1,4,17,Fallacieux,oui,Comme,Proportion
4,1,L1_17_AFC_2,4,17,Fallacieux,oui,Comme,Decoulement
4,1,L1_17_AFC_3,3,17,Fallacieux,oui,Comme,AccordA
4,1,L1_17_AFC_4,4,17,Fallacieux,oui,Comme,AccordB
4,1,L1_18_AFS_1,4,18,Fallacieux,non,Comme,Proportion
4,1,L1_18_AFS_2,4,18,Fallacieux,non,Comme,Decoulement
4,1,L1_18_AFS_3,4,18,Fallacieux,non,Comme,AccordA
4,1,L1_18_AFS_4,4,18,Fallacieux,non,Comme,AccordB
4,1,L1_19_ANC_1,4,19,NonFallacieux,oui,Comme,Proportion
4,1,L1_19_ANC_2,4,19,NonFallacieux,oui,Comme,Decoulement
4,1,L1_19_ANC_3,4,19,NonFallacieux,oui,Comme,AccordA
4,1,L1_19_ANC_4,4,19,NonFallacieux,oui,Comme,AccordB
4,1,L1_20_ANS_1,4,20,NonFallacieux,non,Comme,Proportion
4,1,L1_20_ANS_2,4,20,NonFallacieux,non,Comme,Decoulement
4,1,L1_20_ANS_3,4,20,NonFallacieux,non,Comme,AccordA
4,1,L1_20_ANS_4,2,20,NonFallacieux,non,Comme,AccordB
4,1,L1_21_AFC_1,4,21,Fallacieux,oui,Comme,Proportion
4,1,L1_21_AFC_2,4,21,Fallacieux,oui,Comme,Decoulement
4,1,L1_21_AFC_3,4,21,Fallacieux,oui,Comme,AccordA
4,1,L1_21_AFC_4,4,21,Fallacieux,oui,Comme,AccordB
4,1,L1_22_AFS_1,4,22,Fallacieux,non,Comme,Proportion
4,1,L1_22_AFS_2,4,22,Fallacieux,non,Comme,Decoulement
4,1,L1_22_AFS_3,4,22,Fallacieux,non,Comme,AccordA
4,1,L1_22_AFS_4,4,22,Fallacieux,non,Comme,AccordB
4,1,L1_23_ANC_1,4,23,NonFallacieux,oui,Comme,Proportion
4,1,L1_23_ANC_2,4,23,NonFallacieux,oui,Comme,Decoulement
4,1,L1_23_ANC_3,4,23,NonFallacieux,oui,Comme,AccordA
4,1,L1_23_ANC_4,4,23,NonFallacieux,oui,Comme,AccordB
4,1,L1_24_ANS_1,4,24,NonFallacieux,non,Comme,Proportion
4,1,L1_24_ANS_2,4,24,NonFallacieux,non,Comme,Decoulement
4,1,L1_24_ANS_3,4,24,NonFallacieux,non,Comme,AccordA
4,1,L1_24_ANS_4,4,24,NonFallacieux,non,Comme,AccordB
4,1,L1_25_AFC_1,4,25,Fallacieux,oui,Comme,Proportion
4,1,L1_25_AFC_2,4,25,Fallacieux,oui,Comme,Decoulement
4,1,L1_25_AFC_3,2,25,Fallacieux,oui,Comme,AccordA
4,1,L1_25_AFC_4,4,25,Fallacieux,oui,Comme,AccordB
4,1,L1_26_AFS_1,4,26,Fallacieux,non,Comme,Proportion
4,1,L1_26_AFS_2,4,26,Fallacieux,non,Comme,Decoulement
4,1,L1_26_AFS_3,3,26,Fallacieux,non,Comme,AccordA
4,1,L1_26_AFS_4,3,26,Fallacieux,non,Comme,AccordB
4,1,L1_27_ANC_1,4,27,NonFallacieux,oui,Comme,Proportion
4,1,L1_27_ANC_2,4,27,NonFallacieux,oui,Comme,Decoulement
4,1,L1_27_ANC_3,4,27,NonFallacieux,oui,Comme,AccordA
4,1,L1_27_ANC_4,4,27,NonFallacieux,oui,Comme,AccordB
4,1,L1_28_ANS_1,4,28,NonFallacieux,non,Comme,Proportion
4,1,L1_28_ANS_2,4,28,NonFallacieux,non,Comme,Decoulement
4,1,L1_28_ANS_3,4,28,NonFallacieux,non,Comme,AccordA
4,1,L1_28_ANS_4,4,28,NonFallacieux,non,Comme,AccordB
4,1,L1_29_AFC_1,4,29,Fallacieux,oui,Comme,Proportion
4,1,L1_29_AFC_2,4,29,Fallacieux,oui,Comme,Decoulement
4,1,L1_29_AFC_3,4,29,Fallacieux,oui,Comme,AccordA
4,1,L1_29_AFC_4,4,29,Fallacieux,oui,Comme,AccordB
4,1,L1_30_AFS_1,4,30,Fallacieux,non,Comme,Proportion
4,1,L1_30_AFS_2,4,30,Fallacieux,non,Comme,Decoulement
4,1,L1_30_AFS_3,3,30,Fallacieux,non,Comme,AccordA
4,1,L1_30_AFS_4,3,30,Fallacieux,non,Comme,AccordB
4,1,L1_31_ANC_1,4,31,NonFallacieux,oui,Comme,Proportion
4,1,L1_31_ANC_2,4,31,NonFallacieux,oui,Comme,Decoulement
4,1,L1_31_ANC_3,4,31,NonFallacieux,oui,Comme,AccordA
4,1,L1_31_ANC_4,4,31,NonFallacieux,oui,Comme,AccordB
4,1,L1_32_ANS_1,4,32,NonFallacieux,non,Comme,Proportion
4,1,L1_32_ANS_2,4,32,NonFallacieux,non,Comme,Decoulement
4,1,L1_32_ANS_3,4,32,NonFallacieux,non,Comme,AccordA
4,1,L1_32_ANS_4,4,32,NonFallacieux,non,Comme,AccordB
4,1,L1_33_AFC_1,4,33,Fallacieux,oui,Comme,Proportion
4,1,L1_33_AFC_2,4,33,Fallacieux,oui,Comme,Decoulement
4,1,L1_33_AFC_3,4,33,Fallacieux,oui,Comme,AccordA
4,1,L1_33_AFC_4,4,33,Fallacieux,oui,Comme,AccordB
4,1,L1_34_AFS_1,4,34,Fallacieux,non,Comme,Proportion
4,1,L1_34_AFS_2,4,34,Fallacieux,non,Comme,Decoulement
4,1,L1_34_AFS_3,3,34,Fallacieux,non,Comme,AccordA
4,1,L1_34_AFS_4,3,34,Fallacieux,non,Comme,AccordB
4,1,L1_35_ANC_1,4,35,NonFallacieux,oui,Comme,Proportion
4,1,L1_35_ANC_2,4,35,NonFallacieux,oui,Comme,Decoulement
4,1,L1_35_ANC_3,4,35,NonFallacieux,oui,Comme,AccordA
4,1,L1_35_ANC_4,3,35,NonFallacieux,oui,Comme,AccordB
4,1,L1_36_ANS_1,4,36,NonFallacieux,non,Comme,Proportion
4,1,L1_36_ANS_2,4,36,NonFallacieux,non,Comme,Decoulement
4,1,L1_36_ANS_3,4,36,NonFallacieux,non,Comme,AccordA
4,1,L1_36_ANS_4,5,36,NonFallacieux,non,Comme,AccordB
4,1,L1_37_AFC_1,4,37,Fallacieux,oui,Comme,Proportion
4,1,L1_37_AFC_2,4,37,Fallacieux,oui,Comme,Decoulement
4,1,L1_37_AFC_3,4,37,Fallacieux,oui,Comme,AccordA
4,1,L1_37_AFC_4,4,37,Fallacieux,oui,Comme,AccordB
4,1,L1_38_AFS_1,4,38,Fallacieux,non,Comme,Proportion
4,1,L1_38_AFS_2,4,38,Fallacieux,non,Comme,Decoulement
4,1,L1_38_AFS_3,3,38,Fallacieux,non,Comme,AccordA
4,1,L1_38_AFS_4,3,38,Fallacieux,non,Comme,AccordB
4,1,L1_39_ANC_1,4,39,NonFallacieux,oui,Comme,Proportion
4,1,L1_39_ANC_2,4,39,NonFallacieux,oui,Comme,Decoulement
4,1,L1_39_ANC_3,3,39,NonFallacieux,oui,Comme,AccordA
4,1,L1_39_ANC_4,3,39,NonFallacieux,oui,Comme,AccordB
4,1,L1_40_ANS_1,4,40,NonFallacieux,non,Comme,Proportion
4,1,L1_40_ANS_2,4,40,NonFallacieux,non,Comme,Decoulement
4,1,L1_40_ANS_3,4,40,NonFallacieux,non,Comme,AccordA
4,1,L1_40_ANS_4,3,40,NonFallacieux,non,Comme,AccordB
5,1,Q1_Sexe,1,,,,,Q1.1_Sexe
5,1,Q1_Sexe_3_TEXT,,,,,,Q1.2_Sexe_3_TEXT
5,1,Q2_Age,56,,,,,Q2_Age
5,1,Q3_Langue,3,,,,,Q3.1_Langue
5,1,Q3_Langue_3_TEXT,Anglais,,,,,Q3.2_Langue
5,1,Q5_Lieu,Royaume-Uni,,,,,Q5_Lieu
5,1,Q6_Prolific,5a8d6772f49c9a0001f3cd72,,,,,Q6_Prolific
5,1,L1_1_AFC_1,5,1,Fallacieux,oui,Comme,Proportion
5,1,L1_1_AFC_2,2,1,Fallacieux,oui,Comme,Decoulement
5,1,L1_1_AFC_3,6,1,Fallacieux,oui,Comme,AccordA
5,1,L1_1_AFC_4,6,1,Fallacieux,oui,Comme,AccordB
5,1,L1_2_AFS_1,6,2,Fallacieux,non,Comme,Proportion
5,1,L1_2_AFS_2,6,2,Fallacieux,non,Comme,Decoulement
5,1,L1_2_AFS_3,4,2,Fallacieux,non,Comme,AccordA
5,1,L1_2_AFS_4,4,2,Fallacieux,non,Comme,AccordB
5,1,L1_3_ANC_1,5,3,NonFallacieux,oui,Comme,Proportion
5,1,L1_3_ANC_2,5,3,NonFallacieux,oui,Comme,Decoulement
5,1,L1_3_ANC_3,3,3,NonFallacieux,oui,Comme,AccordA
5,1,L1_3_ANC_4,3,3,NonFallacieux,oui,Comme,AccordB
5,1,L1_4_ANS_1,6,4,NonFallacieux,non,Comme,Proportion
5,1,L1_4_ANS_2,6,4,NonFallacieux,non,Comme,Decoulement
5,1,L1_4_ANS_3,4,4,NonFallacieux,non,Comme,AccordA
5,1,L1_4_ANS_4,4,4,NonFallacieux,non,Comme,AccordB
5,1,L1_5_AFC_1,6,5,Fallacieux,oui,Comme,Proportion
5,1,L1_5_AFC_2,6,5,Fallacieux,oui,Comme,Decoulement
5,1,L1_5_AFC_3,6,5,Fallacieux,oui,Comme,AccordA
5,1,L1_5_AFC_4,6,5,Fallacieux,oui,Comme,AccordB
5,1,L1_6_AFS_1,5,6,Fallacieux,non,Comme,Proportion
5,1,L1_6_AFS_2,5,6,Fallacieux,non,Comme,Decoulement
5,1,L1_6_AFS_3,5,6,Fallacieux,non,Comme,AccordA
5,1,L1_6_AFS_4,5,6,Fallacieux,non,Comme,AccordB
5,1,L1_7_ANC_1,4,7,NonFallacieux,oui,Comme,Proportion
5,1,L1_7_ANC_2,4,7,NonFallacieux,oui,Comme,Decoulement
5,1,L1_7_ANC_3,4,7,NonFallacieux,oui,Comme,AccordA
5,1,L1_7_ANC_4,4,7,NonFallacieux,oui,Comme,AccordB
5,1,L1_8_ANS_1,5,8,NonFallacieux,non,Comme,Proportion
5,1,L1_8_ANS_2,5,8,NonFallacieux,non,Comme,Decoulement
5,1,L1_8_ANS_3,5,8,NonFallacieux,non,Comme,AccordA
5,1,L1_8_ANS_4,5,8,NonFallacieux,non,Comme,AccordB
5,1,L1_9_AFC_1,5,9,Fallacieux,oui,Comme,Proportion
5,1,L1_9_AFC_2,5,9,Fallacieux,oui,Comme,Decoulement
5,1,L1_9_AFC_3,5,9,Fallacieux,oui,Comme,AccordA
5,1,L1_9_AFC_4,5,9,Fallacieux,oui,Comme,AccordB
5,1,L1_10_AFS_1,5,10,Fallacieux,non,Comme,Proportion
5,1,L1_10_AFS_2,4,10,Fallacieux,non,Comme,Decoulement
5,1,L1_10_AFS_3,5,10,Fallacieux,non,Comme,AccordA
5,1,L1_10_AFS_4,5,10,Fallacieux,non,Comme,AccordB
5,1,L1_11_ANC_1,6,11,NonFallacieux,oui,Comme,Proportion
5,1,L1_11_ANC_2,6,11,NonFallacieux,oui,Comme,Decoulement
5,1,L1_11_ANC_3,6,11,NonFallacieux,oui,Comme,AccordA
5,1,L1_11_ANC_4,6,11,NonFallacieux,oui,Comme,AccordB
5,1,L1_12_ANS_1,6,12,NonFallacieux,non,Comme,Proportion
5,1,L1_12_ANS_2,6,12,NonFallacieux,non,Comme,Decoulement
5,1,L1_12_ANS_3,6,12,NonFallacieux,non,Comme,AccordA
5,1,L1_12_ANS_4,6,12,NonFallacieux,non,Comme,AccordB
5,1,L1_13_AFC_1,6,13,Fallacieux,oui,Comme,Proportion
5,1,L1_13_AFC_2,6,13,Fallacieux,oui,Comme,Decoulement
5,1,L1_13_AFC_3,6,13,Fallacieux,oui,Comme,AccordA
5,1,L1_13_AFC_4,6,13,Fallacieux,oui,Comme,AccordB
5,1,L1_14_AFS_1,5,14,Fallacieux,non,Comme,Proportion
5,1,L1_14_AFS_2,5,14,Fallacieux,non,Comme,Decoulement
5,1,L1_14_AFS_3,4,14,Fallacieux,non,Comme,AccordA
5,1,L1_14_AFS_4,4,14,Fallacieux,non,Comme,AccordB
